country,rate_per_100k
Albania,2.485891851
Anguilla,0
Antigua and Barbuda,0.5331545955
Argentina,10.53043029
Armenia,3.031159839
Aruba,7.571774568
Australia,12.6699308
Austria,24.12387702
Azerbaijan,2.960995328
Bahamas,1.263213864
Bahrain,1.854057704
Barbados,2.773248772
Belarus,24.27747834
Belgium,22.15419134
Belize,5.532197909
Bermuda,2.409755011
Bolivia,0
Bosnia and Herz.,9.411514302
Brazil,5.681115741
British Virgin Islands,
Brunei,2.249530691
Bulgaria,19.27736424
Cabo Verde,11.15309032
Canada,12.9916685
Cayman Islands,0
Chile,9.899092333
Colombia,5.389369152
Costa Rica,6.834031789
Croatia,24.7864007
Cuba,13.76557898
Cyprus,2.87369055
Czech Republic,18.86846286
Denmark,8.381998294
Dominica,1.121179615
Dominican Republic,0
Ecuador,6.06271558
Egypt,0.09048285366
El Salvador,11.1254801
Estonia,29.72732249
Falkland Islands (Malvinas),0
Fiji,5.105296039
Finland,17.84713769
France,22.44660811
French Guiana,11.74257881
Georgia,4.178086849
Germany,15.55980961
Greece,4.106784717
Grenada,2.11859114
Guadeloupe,8.809253939
Guatemala,2.982536521
Guyana,20.70565139
Haiti,0
Honduras,0
Hong Kong,17.48280281
Hungary,39.67527048
Iceland,12.20746264
Iran,3.210047081
Iraq,0
Ireland,10.23051751
Israel,8.788757051
Italy,8.714928423
Jamaica,0.4393149649
Japan,22.19254943
Jordan,0
Kazakhstan,29.33028186
Kiribati,6.100672874
Kuwait,1.055884912
Kyrgyzstan,14.81005396
Latvia,32.47988088
Lithuania,37.69228886
Luxembourg,17.31422953
Macau,14.3118248
Malaysia,0
Maldives,1.367422345
Malta,4.23457445
Martinique,9.74046928
Mauritius,10.33443896
Mayotte,2.216468142
Mexico,4.353483373
Monaco,0
Mongolia,8.106367948
Montenegro,9.950312568
Montserrat,0
Morocco,0
Netherlands,11.05095571
Netherlands Antilles,
New Zealand,14.29254855
Nicaragua,6.567177759
Norway,10.49272782
Occupied Palestinian Territory,
Oman,0.7357428442
Panama,5.285175727
Paraguay,3.827609832
Peru,0
Philippines,1.579111739
Poland,12.62785492
Portugal,10.23677423
Puerto Rico,10.71015057
Qatar,1.777666539
Korea,25.13574043
Moldova,17.67466217
Reunion,13.06596295
Rodrigues,6.955890278
Romania,9.151269981
Russia,33.24939252
Saint Kitts and Nevis,0
Saint Lucia,7.064166036
Saint Pierre and Miquelon,0
Saint Vincent and Grenadines,5.13884152
San Marino,9.770642136
Sao Tome and Principe,1.541342288
Saudi Arabia,0
Serbia,22.1643417
Seychelles,7.48017625
Singapore,17.84524913
Slovakia,8.919856769
Slovenia,31.01360242
South Africa,0.9644707443
Spain,8.933508198
Sri Lanka,37.7825071
Suriname,22.13355138
Sweden,11.5101347
Switzerland,10.79741469
Syrian Arab Republic,0
Macedonia,10.76567882
Tajikistan,0
Thailand,7.181446646
Trinidad and Tobago,12.71432415
Tunisia,0
Turkey,2.371190574
Turkmenistan,8.771589906
Turks and Caicos Islands,0
Ukraine,25.84501994
United Arab Emirates,1.317943342
United Kingdom,7.626234771
United States,13.60160698
Uruguay,18.17116594
Uzbekistan,8.490756755
Venezuela,6.719679773
Virgin Islands,6.291391334
Zimbabwe,0
